,StaticClassifierStates,HmmStates,target
66,Standing,Standing,Standing
67,Standing,Standing,Standing
68,Standing,Standing,Standing
69,Standing,Standing,Standing
70,Standing,Standing,Standing
71,Standing,Standing,Standing
72,Standing,Standing,Standing
73,Standing,Standing,Standing
74,Standing,Standing,Standing
75,Walking,Standing,Standing
76,Wheeling,Wheeling,Wheeling
77,Wheeling,Wheeling,Wheeling
78,Wheeling,Wheeling,Wheeling
79,Wheeling,Wheeling,Wheeling
80,Wheeling,Wheeling,Wheeling
81,Wheeling,Wheeling,Wheeling
82,Wheeling,Wheeling,Wheeling
83,Wheeling,Wheeling,Wheeling
84,Wheeling,Wheeling,Wheeling
85,Wheeling,Wheeling,Wheeling
86,Wheeling,Wheeling,Wheeling
87,Wheeling,Wheeling,Wheeling
88,Wheeling,Wheeling,Wheeling
89,Wheeling,Wheeling,Wheeling
90,Wheeling,Wheeling,Wheeling
91,Wheeling,Wheeling,Wheeling
92,Wheeling,Wheeling,Wheeling
93,Wheeling,Wheeling,Wheeling
94,Wheeling,Wheeling,Wheeling
95,Wheeling,Wheeling,Wheeling
96,Wheeling,Wheeling,Wheeling
97,Wheeling,Wheeling,Wheeling
98,Wheeling,Wheeling,Wheeling
99,Wheeling,Wheeling,Wheeling
100,Wheeling,Wheeling,Wheeling
101,Wheeling,Wheeling,Wheeling
102,Wheeling,Wheeling,Wheeling
103,Wheeling,Wheeling,Wheeling
104,Wheeling,Wheeling,Wheeling
105,Wheeling,Wheeling,Wheeling
106,Wheeling,Wheeling,Wheeling
107,Wheeling,Wheeling,Wheeling
108,Wheeling,Wheeling,Wheeling
109,Wheeling,Wheeling,Wheeling
110,Wheeling,Wheeling,Wheeling
111,Wheeling,Wheeling,Wheeling
112,Wheeling,Wheeling,Wheeling
113,Walking,Walking,Walking
114,Walking,Walking,Walking
115,Walking,Walking,Walking
116,Walking,Walking,Walking
117,Walking,Walking,Walking
118,Walking,Walking,Walking
119,Walking,Walking,Walking
120,Walking,Walking,Walking
121,Walking,Walking,Walking
122,Walking,Walking,Walking
123,Walking,Walking,Walking
124,Walking,Walking,Walking
125,Walking,Walking,Walking
126,Walking,Walking,Walking
127,Walking,Walking,Walking
128,Walking,Walking,Walking
129,Walking,Walking,Walking
130,Walking,Walking,Walking
131,Walking,Walking,Walking
132,Walking,Walking,Walking
133,Walking,Walking,Walking
134,Walking,Walking,Walking
135,Walking,Walking,Walking
136,Walking,Walking,Walking
137,Walking,Walking,Walking
138,Walking,Walking,Walking
139,Walking,Walking,Walking
140,Walking,Walking,Walking
141,Standing,Standing,Sitting
142,Standing,Standing,Sitting
143,Standing,Standing,Sitting
144,Standing,Standing,Sitting
145,Standing,Standing,Sitting
146,Standing,Standing,Sitting
147,Standing,Standing,Sitting
148,Standing,Standing,Sitting
149,Standing,Standing,Sitting
150,Standing,Standing,Sitting
151,Sitting,Standing,Sitting
152,Standing,Standing,Sitting
153,Standing,Standing,Sitting
154,Standing,Standing,Sitting
155,Standing,Standing,Sitting
156,Standing,Standing,Sitting
157,Standing,Standing,Sitting
158,Standing,Standing,Sitting
159,Standing,Standing,Sitting
160,Standing,Standing,Sitting
161,Standing,Standing,Sitting
162,Standing,Standing,Sitting
163,Standing,Standing,Sitting
164,Standing,Standing,Sitting
165,Standing,Standing,Sitting
166,Standing,Standing,Sitting
167,Standing,Standing,Sitting
168,Standing,Standing,Sitting
169,Standing,Standing,Sitting
170,Standing,Standing,Sitting
171,Standing,Standing,Sitting
172,Standing,Standing,Sitting
173,Standing,Standing,Sitting
174,Standing,Standing,Sitting
175,Wheeling,Wheeling,Wheeling
176,Wheeling,Wheeling,Wheeling
177,Wheeling,Wheeling,Wheeling
178,Wheeling,Wheeling,Wheeling
179,Wheeling,Wheeling,Wheeling
180,Wheeling,Wheeling,Wheeling
181,Wheeling,Wheeling,Wheeling
182,Wheeling,Wheeling,Wheeling
183,Wheeling,Wheeling,Wheeling
184,Wheeling,Wheeling,Wheeling
185,Wheeling,Wheeling,Wheeling
186,Wheeling,Wheeling,Wheeling
187,Wheeling,Wheeling,Wheeling
188,Wheeling,Wheeling,Wheeling
189,Wheeling,Wheeling,Wheeling
190,Wheeling,Wheeling,Wheeling
191,Wheeling,Wheeling,Wheeling
192,Wheeling,Wheeling,Wheeling
193,Wheeling,Wheeling,Wheeling
194,Wheeling,Wheeling,Wheeling
195,Wheeling,Wheeling,Wheeling
196,Lying,Lying,Lying
197,Lying,Lying,Lying
198,Lying,Lying,Lying
